hsa-mir-23a-3p,breast neoplasms
hsa-mir-23b-3p,breast neoplasms
hsa-mir-23c,breast neoplasms
hsa-mir-186-5p,breast neoplasms
hsa-mir-125a-3p,breast neoplasms
hsa-mir-3167,breast neoplasms
hsa-mir-376c-3p,breast neoplasms
hsa-mir-539-5p,breast neoplasms
hsa-mir-544a,breast neoplasms
hsa-mir-382-5p,breast neoplasms
hsa-mir-338-3p,breast neoplasms
hsa-mir-876-5p,breast neoplasms
hsa-mir-4735-3p,breast neoplasms
hsa-mir-22-3p,breast neoplasms
hsa-mir-505-3p,breast neoplasms
hsa-mir-542-3p,breast neoplasms
hsa-mir-758-3p,breast neoplasms
hsa-mir-216a-5p,breast neoplasms
hsa-mir-761,breast neoplasms
hsa-mir-214-3p,breast neoplasms
hsa-mir-4295,breast neoplasms
hsa-mir-130a-3p,breast neoplasms
hsa-mir-148b-3p,breast neoplasms
hsa-mir-19a-3p,breast neoplasms
hsa-mir-152-3p,breast neoplasms
hsa-mir-454-3p,breast neoplasms
hsa-mir-301a-3p,breast neoplasms
hsa-mir-330-5p,breast neoplasms
hsa-mir-519d-3p,breast neoplasms
hsa-mir-130b-3p,breast neoplasms
hsa-mir-3619-5p,breast neoplasms
hsa-mir-148a-3p,breast neoplasms
hsa-mir-3666,breast neoplasms
hsa-mir-221-3p,breast neoplasms
hsa-mir-222-3p,breast neoplasms
hsa-mir-4782-3p,breast neoplasms
hsa-mir-219a-5p,breast neoplasms
hsa-mir-361-5p,breast neoplasms
hsa-mir-210-3p,breast neoplasms
hsa-mir-329-3p,breast neoplasms
hsa-mir-376a-3p,breast neoplasms
hsa-mir-376b-3p,breast neoplasms
hsa-mir-3529-5p,breast neoplasms
hsa-mir-362-3p,breast neoplasms
hsa-mir-590-3p,breast neoplasms
hsa-mir-4644,breast neoplasms
hsa-mir-92b-3p,breast neoplasms
hsa-mir-1297,breast neoplasms
hsa-mir-154-5p,breast neoplasms
hsa-mir-377-3p,breast neoplasms
hsa-mir-132-3p,breast neoplasms
hsa-mir-212-3p,breast neoplasms
hsa-mir-367-3p,breast neoplasms
hsa-mir-4465,breast neoplasms
hsa-mir-25-3p,breast neoplasms
hsa-mir-363-3p,breast neoplasms
hsa-mir-342-3p,breast neoplasms
hsa-mir-543,breast neoplasms
hsa-mir-193b-3p,breast neoplasms
hsa-mir-193a-3p,breast neoplasms
hsa-mir-181d-5p,breast neoplasms
hsa-mir-4262,breast neoplasms
hsa-mir-449b-5p,breast neoplasms
hsa-mir-653-5p,breast neoplasms
hsa-mir-101-3p,breast neoplasms
hsa-mir-328-3p,breast neoplasms
hsa-mir-371a-5p,breast neoplasms
hsa-mir-384,breast neoplasms
hsa-mir-197-3p,breast neoplasms
hsa-mir-3118,breast neoplasms
hsa-mir-29c-3p,breast neoplasms
hsa-mir-346,breast neoplasms
hsa-mir-4500,breast neoplasms
hsa-mir-370-3p,breast neoplasms
hsa-mir-211-5p,breast neoplasms
hsa-mir-4725-5p,breast neoplasms
hsa-mir-187-3p,breast neoplasms
hsa-mir-4319,breast neoplasms
hsa-mir-27a-3p,breast neoplasms
hsa-mir-124-3p,breast neoplasms
hsa-mir-4458,breast neoplasms
hsa-mir-874-3p,breast neoplasms
hsa-mir-29a-3p,breast neoplasms
hsa-mir-490-3p,breast neoplasms
hsa-mir-27b-3p,breast neoplasms
hsa-mir-455-5p,breast neoplasms
hsa-mir-504-5p,breast neoplasms
hsa-mir-506-3p,breast neoplasms
hsa-mir-200b-3p,breast neoplasms
hsa-mir-200a-3p,breast neoplasms
hsa-mir-378f,breast neoplasms
hsa-mir-378c,breast neoplasms
hsa-mir-202-3p,breast neoplasms
