hsa-mir-873-5p,colon neoplasms
hsa-mir-23a-3p,colon neoplasms
hsa-mir-182-5p,colon neoplasms
hsa-mir-23b-3p,colon neoplasms
hsa-mir-23c,colon neoplasms
hsa-mir-186-5p,colon neoplasms
hsa-mir-125a-3p,colon neoplasms
hsa-mir-421,colon neoplasms
hsa-mir-30e-5p,colon neoplasms
hsa-mir-3167,colon neoplasms
hsa-mir-613,colon neoplasms
hsa-mir-16-5p,colon neoplasms
hsa-mir-376c-3p,colon neoplasms
hsa-mir-539-5p,colon neoplasms
hsa-mir-544a,colon neoplasms
hsa-mir-382-5p,colon neoplasms
hsa-mir-485-5p,colon neoplasms
hsa-mir-497-5p,colon neoplasms
hsa-mir-338-3p,colon neoplasms
hsa-mir-103a-3p,colon neoplasms
hsa-mir-206,colon neoplasms
hsa-mir-876-5p,colon neoplasms
hsa-mir-4735-3p,colon neoplasms
hsa-mir-22-3p,colon neoplasms
hsa-mir-505-3p,colon neoplasms
hsa-mir-190a-5p,colon neoplasms
hsa-mir-542-3p,colon neoplasms
hsa-mir-374b-5p,colon neoplasms
hsa-mir-135a-5p,colon neoplasms
hsa-mir-758-3p,colon neoplasms
hsa-mir-496,colon neoplasms
hsa-mir-33b-5p,colon neoplasms
hsa-mir-216a-5p,colon neoplasms
hsa-mir-761,colon neoplasms
hsa-mir-214-3p,colon neoplasms
hsa-mir-4295,colon neoplasms
hsa-mir-130a-3p,colon neoplasms
hsa-mir-148b-3p,colon neoplasms
hsa-mir-19a-3p,colon neoplasms
hsa-mir-19b-3p,colon neoplasms
hsa-mir-152-3p,colon neoplasms
hsa-mir-454-3p,colon neoplasms
hsa-mir-301a-3p,colon neoplasms
hsa-mir-519d-3p,colon neoplasms
hsa-mir-130b-3p,colon neoplasms
hsa-mir-3619-5p,colon neoplasms
hsa-mir-148a-3p,colon neoplasms
hsa-mir-3666,colon neoplasms
hsa-mir-221-3p,colon neoplasms
hsa-mir-222-3p,colon neoplasms
hsa-mir-20b-5p,colon neoplasms
hsa-mir-7-5p,colon neoplasms
hsa-mir-4782-3p,colon neoplasms
hsa-mir-219a-5p,colon neoplasms
hsa-mir-361-5p,colon neoplasms
hsa-mir-210-3p,colon neoplasms
hsa-mir-379-5p,colon neoplasms
hsa-mir-329-3p,colon neoplasms
hsa-mir-376a-3p,colon neoplasms
hsa-mir-376b-3p,colon neoplasms
hsa-mir-3529-5p,colon neoplasms
hsa-mir-362-3p,colon neoplasms
hsa-mir-590-3p,colon neoplasms
hsa-mir-4306,colon neoplasms
hsa-mir-216b-5p,colon neoplasms
hsa-mir-185-5p,colon neoplasms
hsa-mir-4644,colon neoplasms
hsa-mir-92b-3p,colon neoplasms
hsa-mir-26a-5p,colon neoplasms
hsa-mir-154-5p,colon neoplasms
hsa-mir-377-3p,colon neoplasms
hsa-mir-132-3p,colon neoplasms
hsa-mir-212-3p,colon neoplasms
hsa-mir-26b-5p,colon neoplasms
hsa-mir-367-3p,colon neoplasms
hsa-mir-4465,colon neoplasms
hsa-mir-25-3p,colon neoplasms
hsa-mir-363-3p,colon neoplasms
hsa-mir-9-5p,colon neoplasms
hsa-mir-146b-5p,colon neoplasms
hsa-mir-34c-5p,colon neoplasms
hsa-mir-342-3p,colon neoplasms
hsa-mir-543,colon neoplasms
hsa-mir-193b-3p,colon neoplasms
hsa-mir-193a-3p,colon neoplasms
hsa-mir-122-5p,colon neoplasms
hsa-mir-181c-5p,colon neoplasms
hsa-mir-181d-5p,colon neoplasms
hsa-mir-4262,colon neoplasms
hsa-mir-425-5p,colon neoplasms
hsa-mir-449b-5p,colon neoplasms
hsa-mir-653-5p,colon neoplasms
hsa-mir-101-3p,colon neoplasms
hsa-mir-328-3p,colon neoplasms
hsa-mir-590-5p,colon neoplasms
hsa-mir-383-5p,colon neoplasms
hsa-mir-139-5p,colon neoplasms
hsa-mir-371a-5p,colon neoplasms
hsa-mir-340-5p,colon neoplasms
hsa-mir-384,colon neoplasms
hsa-mir-197-3p,colon neoplasms
hsa-mir-3118,colon neoplasms
hsa-mir-29c-3p,colon neoplasms
hsa-mir-346,colon neoplasms
hsa-mir-4500,colon neoplasms
hsa-mir-370-3p,colon neoplasms
hsa-mir-134-5p,colon neoplasms
hsa-mir-211-5p,colon neoplasms
hsa-mir-4725-5p,colon neoplasms
hsa-mir-187-3p,colon neoplasms
hsa-mir-4319,colon neoplasms
hsa-mir-27a-3p,colon neoplasms
hsa-mir-128-3p,colon neoplasms
hsa-mir-153-3p,colon neoplasms
hsa-mir-149-5p,colon neoplasms
hsa-mir-499a-5p,colon neoplasms
hsa-mir-124-3p,colon neoplasms
hsa-mir-4458,colon neoplasms
hsa-mir-874-3p,colon neoplasms
hsa-mir-183-5p,colon neoplasms
hsa-mir-29a-3p,colon neoplasms
hsa-mir-490-3p,colon neoplasms
hsa-mir-491-5p,colon neoplasms
hsa-mir-27b-3p,colon neoplasms
hsa-mir-98-5p,colon neoplasms
hsa-mir-504-5p,colon neoplasms
hsa-mir-506-3p,colon neoplasms
hsa-mir-200b-3p,colon neoplasms
hsa-mir-200a-3p,colon neoplasms
hsa-mir-378f,colon neoplasms
hsa-mir-320b,colon neoplasms
hsa-mir-378c,colon neoplasms
hsa-mir-202-3p,colon neoplasms
hsa-mir-129-5p,colon neoplasms
hsa-mir-708-5p,colon neoplasms
hsa-mir-200c-3p,colon neoplasms
hsa-mir-141-3p,colon neoplasms
hsa-mir-320d,colon neoplasms
hsa-mir-494-3p,colon neoplasms
hsa-mir-422a,colon neoplasms
hsa-mir-144-3p,colon neoplasms
hsa-mir-142-3p,colon neoplasms
